/* Création de matériels en plastique  */
insert into Materiel values (1, 'plastique');
insert into Materiel values (2, 'plastique');
insert into Materiel values (3, 'plastique');
insert into Materiel values (4, 'plastique');
insert into Materiel values (5, 'plastique');
insert into Materiel values (6, 'plastique');
insert into Materiel values (7, 'plastique');
insert into Materiel values (8, 'plastique');
insert into Materiel values (9, 'plastique');
insert into Materiel values (10, 'plastique');
insert into Materiel values (11, 'plastique');
insert into Materiel values (12, 'plastique');
insert into Materiel values (13, 'plastique');
insert into Materiel values (14, 'plastique');
insert into Materiel values (15, 'plastique');
insert into Materiel values (16, 'plastique');
insert into Materiel values (17, 'plastique');
insert into Materiel values (18, 'plastique');
insert into Materiel values (19, 'plastique');
insert into Materiel values (20, 'plastique');

/* Création de matériels en bois  */
insert into Materiel values (21, 'bois');
insert into Materiel values (22, 'bois');
insert into Materiel values (23, 'bois');
insert into Materiel values (24, 'bois');
insert into Materiel values (25, 'bois');
insert into Materiel values (26, 'bois');
insert into Materiel values (27, 'bois');
insert into Materiel values (28, 'bois');
insert into Materiel values (29, 'bois');
insert into Materiel values (30, 'bois');
insert into Materiel values (31, 'bois');
insert into Materiel values (32, 'bois');
insert into Materiel values (33, 'bois');
insert into Materiel values (34, 'bois');
insert into Materiel values (35, 'bois');
insert into Materiel values (36, 'bois');
insert into Materiel values (37, 'bois');
insert into Materiel values (38, 'bois');
insert into Materiel values (39, 'bois');
insert into Materiel values (40, 'bois');

/* Création de matériels en bambou  */
insert into Materiel values (41, 'bambou');
insert into Materiel values (42, 'bambou');
insert into Materiel values (43, 'bambou');
insert into Materiel values (44, 'bambou');
insert into Materiel values (45, 'bambou');
insert into Materiel values (46, 'bambou');
insert into Materiel values (47, 'bambou');
insert into Materiel values (48, 'bambou');
insert into Materiel values (49, 'bambou');
insert into Materiel values (50, 'bambou');
insert into Materiel values (51, 'bambou');
insert into Materiel values (52, 'bambou');
insert into Materiel values (53, 'bambou');
insert into Materiel values (54, 'bambou');
insert into Materiel values (55, 'bambou');
insert into Materiel values (56, 'bambou');
insert into Materiel values (57, 'bambou');
insert into Materiel values (58, 'bambou');
insert into Materiel values (59, 'bambou');
insert into Materiel values (60, 'bambou');

/* Création de matériels en ardoise  */
insert into Materiel values (61, 'ardoise');
insert into Materiel values (62, 'ardoise');
insert into Materiel values (63, 'ardoise');
insert into Materiel values (64, 'ardoise');
insert into Materiel values (65, 'ardoise');
insert into Materiel values (66, 'ardoise');
insert into Materiel values (67, 'ardoise');
insert into Materiel values (68, 'ardoise');
insert into Materiel values (69, 'ardoise');
insert into Materiel values (70, 'ardoise');
insert into Materiel values (71, 'ardoise');
insert into Materiel values (72, 'ardoise');
insert into Materiel values (73, 'ardoise');
insert into Materiel values (74, 'ardoise');
insert into Materiel values (75, 'ardoise');
insert into Materiel values (76, 'ardoise');
insert into Materiel values (77, 'ardoise');
insert into Materiel values (78, 'ardoise');
insert into Materiel values (79, 'ardoise');
insert into Materiel values (80, 'ardoise');


/* Création de matériels en torchis  */
insert into Materiel values (81, 'torchis');
insert into Materiel values (82, 'torchis');
insert into Materiel values (83, 'torchis');
insert into Materiel values (84, 'torchis');
insert into Materiel values (85, 'torchis');
insert into Materiel values (86, 'torchis');
insert into Materiel values (87, 'torchis');
insert into Materiel values (88, 'torchis');
insert into Materiel values (89, 'torchis');
insert into Materiel values (90, 'torchis');
insert into Materiel values (91, 'torchis');
insert into Materiel values (92, 'torchis');
